,,,,,销售收款明细表,,,,
编制单位:fengchao   起始日期：2018-04-01 终止日期：2019-01-24   数据过滤条件:        ,,,,,,,,,
收款类型,开单日期,单据编号,收款方式,收款帐户,票号,预收金额,应收金额,折扣金额,实收金额
预收款,2018-6-28,XS-000-2018-06-28-0001,转账,三峡银行,,630, , ,630
预收款,2018-6-29,XS-000-2018-06-29-0003,转账,农业银行,,2300, , ,2300
预收款,2018-6-30,XS-000-2018-06-30-0008,转账,农业银行,,1000, , ,1000
预收款,2018-6-30,XS-000-2018-06-30-0009,转账,农业银行,,1600, , ,1600
预收款,2018-6-30,XS-000-2018-06-30-0010,转账,农业银行,,5000, , ,5000
预收款,2018-6-30,XS-000-2018-06-30-0011,转账,农业银行,,6322, , ,6322
预收款,2018-6-30,XS-000-2018-06-30-0012,转账,农业银行,,740, , ,740
预收款,2018-6-30,XS-000-2018-06-30-0013,转账,其他,,24338, , ,24338
预收款,2018-7-2,XS-000-2018-07-02-0001,转账,农业银行,,2450, , ,2450
预收款,2018-7-4,XS-000-2018-07-04-0004,转账,农业银行,,3520, , ,3520
预收款,2018-7-5,XS-000-2018-07-05-0001,转账,农业银行,,1220, , ,1220
预收款,2018-7-5,XS-000-2018-07-05-0007,转账,农村商业银行,,2270, , ,2270
预收款,2018-7-5,XS-000-2018-07-05-0008,转账,农业银行,,2030, , ,2030
预收款,2018-7-6,XS-000-2018-07-06-0001,转账,农业银行,,1100, , ,1100
预收款,2018-7-6,XS-000-2018-07-06-0002,转账,农业银行,,1000, , ,1000
预收款,2018-7-8,XS-000-2018-07-08-0001,转账,农业银行,,3800, , ,3800
预收款,2018-7-8,XS-000-2018-07-08-0004,转账,农村商业银行,,2730, , ,2730
预收款,2018-7-12,XS-000-2018-07-12-0002,转账,农业银行,,1190, , ,1190
预收款,2018-7-12,XS-000-2018-07-12-0003,转账,农业银行,,1600, , ,1600
预收款,2018-7-16,XS-000-2018-07-16-0007,转账,农业银行,,1200, , ,1200
预收款,2018-7-17,XS-000-2018-07-17-0001,转账,农业银行,,4370, , ,4370
预收款,2018-7-17,XS-000-2018-07-17-0005,转账,农村商业银行,,1221, , ,1221
预收款,2018-7-22,XS-000-2018-07-22-0001,转账,农业银行,,1200, , ,1200
预收款,2018-7-22,XS-000-2018-07-22-0002,转账,农业银行,,1010, , ,1010
